"Saison";"Sptag";"Heim";"Auswaerts";"ToreH";"ToreA";"TorminH";"TorminA";"GelbH";"GelbRotH";"RotH";"MinH";"GelbA";"GelbRotA";"RotA";"MinA"
1996;13;"1860muenchen";"freiburg";3;0;"45/68/85";"";2;0;0;"";4;1;0;"69"
1996;13;"schalke";"stpauli";2;0;"12/47";"";2;0;0;"";1;0;0;""
1996;14;"mgladbach";"hamburg";1;2;"66";"1/25";0;0;0;"";5;0;0;""
1996;14;"stpauli";"duesseldorf";2;1;"28/44";"33";4;0;0;"";1;0;0;""
1996;14;"dortmund";"karlsruhe";4;1;"17/66/71/82";"55";3;0;0;"";4;0;1;"35"
1996;14;"frankfurt";"fckoeln";1;0;"73";"";3;0;0;"";2;0;0;""
1996;14;"freiburg";"rostock";2;1;"34/59";"9";3;1;0;"69";4;0;1;"39"
1996;14;"klautern";"1860muenchen";0;0;"";"";3;0;0;"";1;0;0;""
1996;14;"leverkusen";"uerdingen";2;1;"9/74";"69";1;0;0;"";3;0;0;""
1996;14;"bmuenchen";"bremen";2;0;"7/87";"";3;0;0;"";4;0;0;""
1996;14;"vfbstuttgart";"schalke";2;2;"43/57";"24/77";2;0;0;"";3;0;0;""
1996;15;"duesseldorf";"vfbstuttgart";1;2;"32";"65/67";3;0;0;"";2;0;0;""
1996;15;"hamburg";"stpauli";1;0;"41";"";3;0;0;"";4;0;0;""
1996;15;"bremen";"rostock";0;2;"";"33/54";3;0;0;"";3;0;0;""
1996;15;"klautern";"freiburg";1;2;"73";"51/86";0;0;0;"";1;0;0;""
1996;15;"karlsruhe";"mgladbach";4;0;"3/55/63/73";"";1;0;0;"";2;0;0;""
1996;15;"1860muenchen";"leverkusen";0;1;"";"67";4;0;0;"";3;1;1;"88/71"
1996;15;"schalke";"frankfurt";2;0;"10/71";"";0;0;0;"";1;0;0;""
1996;15;"uerdingen";"dortmund";0;2;"";"66/71";2;0;0;"";1;0;0;""
1996;15;"fckoeln";"bmuenchen";0;0;"";"";3;0;0;"";4;0;0;""
1996;16;"bremen";"fckoeln";0;1;"";"88";0;0;0;"";3;1;0;"66"
1996;16;"dortmund";"1860muenchen";3;1;"33/78/89";"23";2;0;0;"";4;0;0;""
1996;16;"leverkusen";"freiburg";0;1;"";"9";3;0;0;"";2;0;0;""
1996;16;"frankfurt";"duesseldorf";3;0;"7/41/42";"";1;0;0;"";2;0;0;""
1996;16;"mgladbach";"uerdingen";2;1;"26/30";"23";1;0;0;"";4;0;0;""
1996;16;"bmuenchen";"schalke";4;0;"22/54/62/84";"";0;0;0;"";1;0;0;""
1996;16;"rostock";"klautern";3;0;"27/36/57";"";0;0;0;"";4;0;0;""
1996;16;"stpauli";"karlsruhe";1;1;"29";"7";1;0;0;"";2;1;0;"71"
1996;16;"vfbstuttgart";"hamburg";3;0;"20/83/86";"";3;0;0;"";2;0;0;""
1996;17;"hamburg";"frankfurt";5;1;"2/10/17/31/77";"75";0;0;0;"";1;0;0;""
1996;17;"uerdingen";"stpauli";2;5;"6/36";"10/41/53/74/88";1;0;0;"";1;0;0;""
1996;17;"duesseldorf";"bmuenchen";0;2;"";"47/86";0;0;1;"86";2;0;0;""
1996;17;"freiburg";"dortmund";0;1;"";"49";1;0;0;"";2;0;0;""
1996;17;"klautern";"leverkusen";1;0;"58";"";2;0;0;"";5;0;0;""
1996;17;"karlsruhe";"vfbstuttgart";1;2;"76";"21/50";3;0;0;"";3;0;0;""
1996;17;"1860muenchen";"mgladbach";4;0;"33/40/73/76";"";1;0;0;"";3;0;0;""
1996;17;"schalke";"bremen";2;1;"50/84";"80";0;0;0;"";0;0;0;""
1996;17;"fckoeln";"rostock";3;0;"44/74/90";"";0;0;0;"";1;0;0;""
1996;18;"freiburg";"mgladbach";0;0;"";"";0;0;0;"";0;0;0;""
1996;18;"klautern";"dortmund";1;1;"23";"9";3;0;0;"";0;0;0;""
1996;18;"karlsruhe";"frankfurt";1;1;"84";"12";0;0;0;"";2;0;0;""
1996;18;"1860muenchen";"stpauli";2;0;"45/58";"";1;0;0;"";3;1;0;"29"
1996;18;"hamburg";"bmuenchen";2;1;"85/89";"28";1;0;0;"";2;0;0;""
1996;18;"schalke";"fckoeln";0;0;"";"";4;0;0;"";2;0;0;""
1996;18;"duesseldorf";"bremen";1;1;"57";"64";1;0;0;"";0;0;0;""
1996;18;"leverkusen";"rostock";2;0;"12/75";"";2;0;0;"";3;0;0;""
1996;18;"uerdingen";"vfbstuttgart";3;4;"13/46/90";"35/56/88/90";2;0;0;"";2;0;0;""
1996;19;"fckoeln";"duesseldorf";0;0;"";"";1;0;0;"";0;0;0;""
1996;19;"frankfurt";"uerdingen";1;0;"45";"";1;0;0;"";2;0;0;""
1996;19;"bmuenchen";"karlsruhe";1;4;"55";"15/51/73/78";2;0;0;"";2;0;0;""
1996;19;"vfbstuttgart";"1860muenchen";2;3;"5/31";"15/21/74";3;0;0;"";2;0;0;""
1996;19;"bremen";"hamburg";2;1;"3/33";"18";1;0;0;"";2;0;0;""
1996;19;"stpauli";"freiburg";1;1;"30";"55";1;0;0;"";0;0;1;"57"
1996;19;"mgladbach";"klautern";1;1;"25";"49";0;0;1;"37";3;0;0;""
1996;19;"rostock";"schalke";1;2;"8";"76/90";1;0;0;"";1;0;0;""
1996;19;"dortmund";"leverkusen";2;0;"8/73";"";2;0;0;"";5;0;0;""
1996;20;"klautern";"stpauli";0;0;"";"";1;0;0;"";1;0;0;""
1996;20;"leverkusen";"mgladbach";0;0;"";"";2;0;0;"";3;0;0;""
1996;20;"dortmund";"rostock";1;2;"56";"45/54";2;0;0;"";2;0;0;""
1996;20;"duesseldorf";"schalke";2;0;"8/63";"";2;0;0;"";2;0;0;""
1996;20;"freiburg";"vfbstuttgart";2;1;"26/74";"75";1;0;0;"";2;0;0;""
1996;20;"karlsruhe";"bremen";1;1;"17";"36";1;0;0;"";1;0;0;""
1996;20;"1860muenchen";"frankfurt";3;1;"27/44/86";"47";2;0;0;"";5;0;0;""
1996;20;"uerdingen";"bmuenchen";1;6;"86";"20/52/57/61/85/88";1;0;0;"";2;0;0;""
1996;20;"hamburg";"fckoeln";0;0;"";"";3;0;0;"";4;0;0;""
1996;21;"bremen";"uerdingen";1;0;"45";"";1;0;0;"";3;1;0;"45"
1996;21;"frankfurt";"freiburg";0;1;"";"79";1;0;0;"";3;0;0;""
1996;21;"fckoeln";"karlsruhe";0;1;"";"72";1;0;0;"";3;0;0;""
1996;21;"mgladbach";"dortmund";2;2;"27/63";"57/89";3;0;0;"";2;0;0;""
1996;21;"bmuenchen";"1860muenchen";4;2;"7/9/20/26";"33/64";1;0;1;"42";3;0;1;"42"
1996;21;"schalke";"hamburg";3;0;"7/12/49";"";0;0;0;"";1;0;0;""
