Titel;Ort;Erscheinungsweise;Quartal;Verbreitung;Verkauf;DAGesamt
Cicero;Berlin;mtl;20093;90159;81032;122037
Cicero;Berlin;mtl;20094;91133;82093;123333
DAHEIM in Deutschland;Stuttgart;2-mtl;20063;163755;97550;177490
DAHEIM in Deutschland;Stuttgart;2-mtl;20064;110925;101406;138817
DAHEIM in Deutschland;Stuttgart;2-mtl;20071;210203;141697;240116
DAHEIM in Deutschland;Stuttgart;2-mtl;20072;123651;121207;145077
DAHEIM in Deutschland;Stuttgart;2-mtl;20073;157859;132529;182495
DAHEIM in Deutschland;Stuttgart;2-mtl;20074;119882;117088;132097
DAHEIM in Deutschland;Stuttgart;2-mtl;20081;154541;128933;165669
DAHEIM in Deutschland;Stuttgart;2-mtl;20082;125126;122971;136950
DAHEIM in Deutschland;Stuttgart;2-mtl;20083;136880;120404;149577
DAHEIM in Deutschland;Stuttgart;2-mtl;20084;122914;120553;125650
DAHEIM in Deutschland;Stuttgart;2-mtl;20091;166012;148416;271269
DAHEIM in Deutschland;Stuttgart;2-mtl;20092;143650;138296;217021
DAHEIM in Deutschland;Stuttgart;2-mtl;20093;156790;146681;200296
DAHEIM in Deutschland;Stuttgart;2-mtl;20094;140521;136197;176989
Das Magazin;Berlin;mtl;19981;77127;76958;98800
Das Magazin;Berlin;mtl;19982;80935;80361;98800
Das Magazin;Berlin;mtl;19983;76191;75619;98533
Das Magazin;Berlin;mtl;19984;74223;73653;98800
Das Magazin;Berlin;mtl;19991;71950;71373;98867
Das Magazin;Berlin;mtl;19991;76483;75906;98867
Das Magazin;Berlin;mtl;19992;77838;75488;98800
Das Magazin;Berlin;mtl;19993;76913;74813;98800
Das Magazin;Berlin;mtl;19994;75840;73640;98800
Das Magazin;Berlin;mtl;20001;78378;72785;98800
Das Magazin;Berlin;mtl;20002;77355;73755;98800
Das Magazin;Berlin;mtl;20003;77845;74116;98800
Entscheidung, Die;Monschau;6 x jähr;20043;14100;1052;14150
Entscheidung, Die;Monschau;6 x jähr;20044;12650;1058;12700
Entscheidung, Die;Monschau;6 x jähr;20044;56300;1058;56350
Entscheidung, Die;Monschau;6 x jähr;20051;56150;1074;56200
Entscheidung, Die;Monschau;6 x jähr;20051;12350;1089;12400
Entscheidung, Die;Monschau;6 x jähr;20052;9950;1095;10000
Entscheidung, Die;Monschau;6 x jähr;20053;14715;1100;14765
Entscheidung, Die;Monschau;6 x jähr;20054;11211;1131;11261
Entscheidung, Die;Monschau;6 x jähr;20061;10750;1171;10800
Entscheidung, Die;Monschau;6 x jähr;20062;11800;1229;11850
Entscheidung, Die;Monschau;6 x jähr;20063;11050;1224;11100
Entscheidung, Die;Monschau;6 x jähr;20064;11125;1209;11175
Entscheidung, Die;Monschau;6 x jähr;20071;11550;1203;11600
Entscheidung, Die;Monschau;6 x jähr;20072;11000;1210;11050
Entscheidung, Die;Monschau;6 x jähr;20073;11300;1227;11350
Entscheidung, Die;Monschau;6 x jähr;20074;11550;1293;11600
Entscheidung, Die;Monschau;6 x jähr;20081;11700;1292;11750
Entscheidung, Die;Monschau;6 x jähr;20082;11525;1306;11575
Entscheidung, Die;Monschau;6 x jähr;20083;13197;1338;13247
Entscheidung, Die;Monschau;6 x jähr;20084;11425;1359;11475
Entscheidung, Die;Monschau;6 x jähr;20091;11350;1349;11400
Entscheidung, Die;Monschau;6 x jähr;20092;11200;1353;11250
Entscheidung, Die;Monschau;6 x jähr;20093;12075;1353;12125
Entscheidung, Die;Monschau;6 x jähr;20094;10925;1381;10975
EU-Magazin;Baden-Baden;10 x jähr;19981;15802;9176;23792
EU-Magazin;Baden-Baden;10 x jähr;19982;13042;3370;35772
EU-Magazin;Baden-Baden;10 x jähr;19983;9120;2516;23737
EU-Magazin;Baden-Baden;10 x jähr;19983;11399;3144;29671
EU-Magazin;Baden-Baden;10 x jähr;19984;11673;3617;29705
EU-Magazin;Baden-Baden;10 x jähr;19991;12247;3057;29553
EU-Magazin;Baden-Baden;10 x jähr;19992;12519;3756;29699
EU-Magazin;Baden-Baden;10 x jähr;19993;13967;4981;29707
EU-Magazin;Baden-Baden;10 x jähr;19994;14067;5075;29644
Europäische Zeitung;Bonn;12 x jähr;19981;25346;21023;25850
Europäische Zeitung;Bonn;12 x jähr;19982;25841;21578;26133
Europäische Zeitung;Bonn;12 x jähr;19983;26268;21160;26750
Europäische Zeitung;Bonn;12 x jähr;19984;25660;21223;26267
Europäische Zeitung;Bonn;12 x jähr;19991;24796;20372;25750
Europäische Zeitung;Bonn;12 x jähr;19992;24209;20182;25250
Europäische Zeitung;Bonn;12 x jähr;19992;24432;20405;25250
Europäische Zeitung;Bonn;12 x jähr;19993;23772;20175;24500
Europäische Zeitung;Bonn;12 x jähr;19994;23670;20083;24667
Europäische Zeitung;Bonn;12 x jähr;20001;23441;20112;24050
Europäische Zeitung;Bonn;12 x jähr;20002;23306;20005;23866
Europäische Zeitung;Bonn;12 x jähr;20003;23014;19920;23600
Europäische Zeitung;Bonn;12 x jähr;20004;23073;19865;23466
Europäische Zeitung;Bonn;12 x jähr;20011;23368;19574;23450
Europäische Zeitung;Bonn;12 x jähr;20012;22752;19326;23500
Europäische Zeitung;Bonn;12 x jähr;20013;22945;19464;23500
Europäische Zeitung;Bonn;12 x jähr;20014;23418;19319;23833
Europäische Zeitung;Bonn;12 x jähr;20021;22499;18940;23033
Europäische Zeitung;Bonn;12 x jähr;20022;20681;18655;21100
Europäische Zeitung;Bonn;12 x jähr;20023;8601;6336;9000
EUROSAAR;Bexbach;vtl-jähr;20023;9443;2970;10000
EUROSAAR;Bexbach;vtl-jähr;20024;9398;2970;10000
EUROSAAR;Bexbach;vtl-jähr;20024;9563;2970;10000
EUROSAAR;Bexbach;vtl-jähr;20031;9663;2970;10000
EUROSAAR;Bexbach;vtl-jähr;20032;9532;2970;10000
EUROSAAR;Bexbach;vtl-jähr;20032;8065;2970;10000
EUROSAAR;Bexbach;vtl-jähr;20033;9608;2970;10000
EUROSAAR;Bexbach;vtl-jähr;20033;9608;2970;10000
EUROSAAR;Bexbach;vtl-jähr;20034;9600;2480;10000
EUROSAAR;Bexbach;vtl-jähr;20034;9600;2480;10000
EUROSAAR;Bexbach;vtl-jähr;20041;9716;2480;10000
Focus;München;woe;19981;768800;758849;998521
Focus;München;woe;19982;745240;732842;965300
Focus;München;woe;19983;829108;816800;1017199
Focus;München;woe;19984;795341;782685;1020329
Focus;München;woe;19991;794437;783796;1040056
Focus;München;woe;19992;759023;749347;964654
Focus;München;woe;19993;832837;824057;1031798
Focus;München;woe;19994;774293;765077;1013872
Focus;München;woe;20001;819392;810931;1043448
Focus;München;woe;20002;752622;743375;992054
Focus;München;woe;20003;780239;770952;1017272
Focus;München;woe;20004;742839;733830;971513
Focus;München;woe;20011;781388;772965;1005433
Focus;München;woe;20012;765990;757257;966888
Focus;München;woe;20013;825656;815477;1033437
Focus;München;woe;20014;741027;730915;1039385
Focus;München;woe;20021;779629;768281;990971
Focus;München;woe;20022;758948;747806;979948
Focus;München;woe;20023;798096;786573;1007044
Focus;München;woe;20024;762952;753203;979972
Focus;München;woe;20031;800719;790752;1002369
Focus;München;woe;20032;819214;810154;1018433
Focus;München;woe;20033;832860;824328;1034635
Focus;München;woe;20034;777717;766461;984472
Focus;München;woe;20041;809756;798406;996457
Focus;München;woe;20042;779865;768472;987095
Focus;München;woe;20043;802166;791924;1015782
Focus;München;woe;20044;763326;752526;987863
Focus;München;woe;20051;789719;779866;989334
Focus;München;woe;20052;789102;775921;976781
Focus;München;woe;20053;805077;790834;978836
Focus;München;woe;20054;760413;745362;937860
Focus;München;woe;20061;751124;734592;920833
Focus;München;woe;20062;746032;730435;916320
Focus;München;woe;20063;752118;733999;915355
Focus;München;woe;20064;729199;714168;888160
Focus;München;woe;20071;735055;723004;891389
Focus;München;woe;20072;725358;711170;899400
Focus;München;woe;20073;741463;728104;911563
Focus;München;woe;20074;735476;720858;909735
Focus;München;woe;20081;718376;704975;894708
Focus;München;woe;20082;765169;751625;919876
Focus;München;woe;20083;800009;787873;962067
Focus;München;woe;20084;752766;738679;926867
Focus;München;woe;20091;694113;683440;864623
Focus;München;woe;20092;668760;656776;819727
Focus;München;woe;20093;624812;614032;788573
Focus;München;woe;20094;590467;579788;762995
Gala;Hamburg;woe;19981;296220;289008;429732
Gala;Hamburg;woe;19982;304533;297260;452996
Gala;Hamburg;woe;19983;320331;313412;476108
Gala;Hamburg;woe;19984;308948;302521;435457
Gala;Hamburg;woe;19991;306906;300361;431854
Gala;Hamburg;woe;19992;315496;309325;444018
Gala;Hamburg;woe;19993;338304;332027;473090
Gala;Hamburg;woe;19994;312276;305533;427045
Gala;Hamburg;woe;20001;310464;304202;431394
Gala;Hamburg;woe;20002;329850;323275;457020
Gala;Hamburg;woe;20003;366126;359598;494564
Gala;Hamburg;woe;20004;335704;329094;467571
Gala;Hamburg;woe;20011;342471;335660;464328
Gala;Hamburg;woe;20012;337799;330968;473688
Gala;Hamburg;woe;20013;368506;361481;486599
Gala;Hamburg;woe;20014;326972;319830;452413
Gala;Hamburg;woe;20021;331307;324232;455417
Gala;Hamburg;woe;20022;362212;354431;483431
Gala;Hamburg;woe;20023;390301;382890;501846
Gala;Hamburg;woe;20024;341148;333054;476296
Gala;Hamburg;woe;20031;353469;344567;471315
Gala;Hamburg;woe;20032;362626;355025;486265
Gala;Hamburg;woe;20033;415592;408027;546015
Gala;Hamburg;woe;20034;361270;353381;513972
Gala;Hamburg;woe;20041;368503;359930;491114
Gala;Hamburg;woe;20042;388643;380004;528093
Gala;Hamburg;woe;20043;412514;403685;564178
Gala;Hamburg;woe;20044;369208;360468;517552
Gala;Hamburg;woe;20051;393618;385372;523487
Gala;Hamburg;woe;20052;397139;389048;535402
Gala;Hamburg;woe;20053;420480;412260;572044
Gala;Hamburg;woe;20054;363464;355273;520447
Gala;Hamburg;woe;20061;367581;359278;500371
Gala;Hamburg;woe;20062;380621;371856;504131
Gala;Hamburg;woe;20063;421020;412303;562309
Gala;Hamburg;woe;20064;365675;356769;509395
Gala;Hamburg;woe;20071;376044;369259;515888
Gala;Hamburg;woe;20072;381655;374721;516686
Gala;Hamburg;woe;20073;396884;389976;546372
Gala;Hamburg;woe;20074;371142;364015;501165
Gala;Hamburg;woe;20081;383166;376265;514015
Gala;Hamburg;woe;20082;372213;365614;508488
Gala;Hamburg;woe;20083;389167;382430;511348
Gala;Hamburg;woe;20084;341439;334588;461399
Gala;Hamburg;woe;20091;367300;360486;470680
Gala;Hamburg;woe;20092;355618;347664;464137
Gala;Hamburg;woe;20093;367976;361471;478601
Gala;Hamburg;woe;20094;325872;320066;442312
in Das STAR & STYLE Magazin;Berlin;woe;20054;140893;139464;340438
in Das STAR & STYLE Magazin;Berlin;woe;20061;140800;139332;291525
in Das STAR & STYLE Magazin;Berlin;woe;20062;139767;138117;276672
in Das STAR & STYLE Magazin;Berlin;woe;20063;186429;184788;300885
in Das STAR & STYLE Magazin;Berlin;woe;20064;153385;151825;311549
in Das STAR & STYLE Magazin;Berlin;woe;20071;187940;186279;314446
in Das STAR & STYLE Magazin;Berlin;woe;20072;202021;200251;332396
in Das STAR & STYLE Magazin;Berlin;woe;20073;257417;255068;395446
in Das STAR & STYLE Magazin;Berlin;woe;20074;196587;194202;370128
in Das STAR & STYLE Magazin;Berlin;woe;20081;222768;220190;399023
in Das STAR & STYLE Magazin;Berlin;woe;20082;204627;201160;370954
in Das STAR & STYLE Magazin;Berlin;woe;20083;249724;245970;418795
in Das STAR & STYLE Magazin;Berlin;woe;20084;216772;213016;360700
in Das STAR & STYLE Magazin;Berlin;woe;20091;229723;226259;370977
